Virus_Association,Most_Haploinsufficient_gene,Introgression,node_type,dNdS
4.2,C,HSS.HSS,intermittent.redundant,0.0.0062
4.1,C,HSS.HSS,redundant.redundant,0.0018.0.0028
3.4,D,HSS.HSS,critical.intermittent,0.0.0052
1.2,C,HSS.HSS,redundant.redundant,0.0.0418
4.4,C,HSS.HSS,intermittent.redundant,0.0032.0.0071
4.4,D,HSS.HSS,redundant.redundant,0.0014.0.0015
3.1,C,HSS.HSS,redundant.intermittent,0.0013.0.0576
4.4,D,HSS.HSS,redundant.redundant,0.0009.0.0017
4.1,D,HSS.HSS,redundant.redundant,0.0027.0.0038
4.4,D,HSS.HSS,redundant.redundant,0.0016.0.0021
4.4,C,HSS.HSS,redundant.redundant,0.0006.0.004
4.4,C,HSS.HSS,intermittent.redundant,0.0007.0.0016
4.4,C,HSS.HSS,redundant.intermittent,0.0029.0.0035
4.4,D,HSS.HSS,redundant.redundant,0.0008.0.0047
3.4,C,HSS.HSS,critical.redundant,0.001.0.0226
2.4,D,HSS.HSS,redundant.redundant,0.001.0.0032
1.4,C,HSS.HSS,redundant.redundant,0.0007.0.0012
2.4,D,HSS.HSS,intermittent.redundant,0.0.0034
4.1,D,HSS.HSS,redundant.redundant,0.0005.0.0136
3.4,D,HSS.Intermediate,redundant.redundant,0.0.0009
4.1,C,HSS.HSS,redundant.redundant,0.0059.0.0071
4.4,D,HSS.HSS,intermittent.redundant,0.0024.0.0029
4.4,C,HSS.HSS,intermittent.redundant,0.0006.0.0069
3.3,C,HSS.HSS,critical.redundant,0.0.0136
2.3,C,HSS.HSS,redundant.intermittent,0.0.0008
2.4,C,HSS.HSS,redundant.redundant,0.0014.0.0049
2.4,C,HSS.HSS,intermittent.redundant,0.0.001
4.4,C,HSS.HSS,redundant.redundant,0.0.0054
4.2,C,HSS.HSS,redundant.redundant,0.0014.0.0077
4.4,C,HSS.HSS,redundant.redundant,0.0.0015
1.4,C,HSS.HSS,redundant.redundant,0.0022.0.0026
4.1,C,HSS.HSS,redundant.redundant,0.0017.0.0227
4.4,C,HSS.HSS,redundant.redundant,0.0.1168
4.4,C,HSS.HSS,redundant.redundant,0.0.4414
3.2,C,Strict.HSS,intermittent.redundant,0.0.0127
4.4,D,HSS.HSS,redundant.intermittent,0.0005.0.0112
4.4,C,HSS.HSS,redundant.redundant,0.0017.0.006
3.4,D,HSS.HSS,redundant.intermittent,0.0.0013
1.3,C,HSS.HSS,redundant.redundant,0.0006.0.0017
4.1,C,HSS.HSS,redundant.redundant,0.0.034
4.1,C,HSS.HSS,redundant.redundant,0.0026.0.0035
4.3,C,HSS.HSS,redundant.redundant,0.0.0026
4.2,C,HSS.HSS,redundant.redundant,0.0033.0.0204
1.1,D,HSS.HSS,redundant.redundant,0.0.002
3.4,D,HSS.HSS,critical.redundant,0.0014.0.0142
4.4,C,HSS.HSS,redundant.intermittent,0.0.001
4.4,C,HSS.HSS,redundant.intermittent,0.0.0037
4.4,C,HSS.HSS,redundant.redundant,0.0.0017
3.4,D,HSS.HSS,critical.redundant,0.0008.0.0514
3.2,C,HSS.HSS,intermittent.redundant,0.0004.0.0014
4.4,D,HSS.HSS,redundant.intermittent,0.0015.0.0073
1.4,C,HSS.HSS,redundant.redundant,0.0015.0.0164
4.4,C,HSS.HSS,redundant.redundant,0.0007.0.0029
4.3,C,HSS.HSS,redundant.intermittent,0.0.0019
1.4,D,HSS.HSS,redundant.redundant,0.0007.0.0216
4.4,C,HSS.HSS,redundant.redundant,0.0.0011
4.4,C,HSS.HSS,redundant.redundant,0.0004.0.0014
4.4,C,HSS.HSS,redundant.redundant,0.0.0014
4.4,C,HSS.HSS,redundant.redundant,0.0009.0.0127
3.4,C,HSS.HSS,intermittent.redundant,0.0018.0.0038
3.4,C,HSS.HSS,redundant.redundant,0.0.0029
4.2,D,HSS.HSS,intermittent.critical,0.0006.0.0017
1.4,C,HSS.HSS,redundant.redundant,0.0.1082
4.4,D,HSS.HSS,redundant.redundant,0.0029.0.0219
4.4,C,HSS.HSS,redundant.redundant,0.001.0.0062
4.3,C,HSS.HSS,redundant.redundant,0.0.0078
