Family_number,Family_Root,Number_of_members,DNA,RNA,Multi,None,Total_VIP,Num_Critical
1964,Bilateria,5,0,0,1,4,1,2
1965,Vertebrata,2,0,1,0,1,1,0
1967,Bilateria,3,1,0,0,2,1,0
1968,LECA,3,0,0,1,2,1,0
197,Vertebrata,2,0,2,0,0,2,0
1970,LECA,2,1,0,1,0,2,0
1971,LECA,4,1,1,0,2,2,0
1972,LECA,3,0,1,1,1,2,1
1977,Opisthokonta,5,1,1,1,2,3,0
1984,Bilateria,12,4,1,1,6,6,0
1985,Vertebrata,4,0,0,1,3,1,0
199,Opisthokonta,4,1,1,0,2,2,0
1993,Gnathostomata,2,0,1,0,1,1,0
1994,Bilateria,8,1,2,1,4,4,0
1995,LECA,3,0,0,0,3,0,0
1997,LECA,3,0,0,1,2,1,0
2,Gnathostomata,2,0,0,1,1,1,0
20,LECA,24,3,1,2,18,6,0
200,LECA,5,1,0,1,3,2,0
2000,LECA,13,2,1,1,9,4,0
2003,Opisthokonta,3,1,0,0,2,1,0
2005,LECA,5,0,1,1,3,2,0
2008,Bilateria,14,2,1,1,10,4,1
2009,LECA,3,0,0,0,3,0,0
2015,Theria,2,0,0,1,1,1,0
202,LECA,3,0,2,0,1,2,0
2020,Vertebrata,2,0,0,0,2,0,1
2021,Chordata,2,0,0,0,2,0,0
2022,Opisthokonta,3,2,0,0,1,2,0
2023,LECA,5,0,0,1,4,1,0
2024,LECA,2,1,1,0,0,2,0
203,Bilateria,3,1,0,0,2,1,0
2032,Vertebrata,4,0,0,0,4,0,0
2033,LECA,2,1,0,0,1,1,0
2036,Gnathostomata,2,0,1,0,1,1,0
204,LECA,3,0,2,0,1,2,0
2041,Chordata,3,0,0,0,3,0,0
2042,Gnathostomata,3,0,0,0,3,0,0
2043,Vertebrata,2,0,1,0,1,1,0
2044,LECA,14,2,0,1,11,3,0
2045,LECA,8,1,1,1,5,3,1
2048,LECA,4,0,0,0,4,0,0
205,LECA,4,1,1,1,1,3,0
2052,Bilateria,4,0,0,0,4,0,0
2056,LECA,6,0,1,0,5,1,0
2057,Bilateria,2,0,1,0,1,1,0
2058,LECA,5,0,3,1,1,4,0
206,Bilateria,4,1,0,0,3,1,1
2061,LECA,3,0,0,0,3,0,0
2067,Euteleostomi,2,1,0,0,1,1,0
207,LECA,12,1,2,0,9,3,0
2070,LECA,3,0,0,2,1,2,0
2071,Vertebrata,2,0,1,0,1,1,1
2072,Vertebrata,7,0,0,0,7,0,0
2077,Vertebrata,2,1,0,0,1,1,0
208,LECA,4,1,0,0,3,1,0
2083,Opisthokonta,2,0,2,0,0,2,0
2084,LECA,4,0,3,0,1,3,0
2088,Vertebrata,5,0,0,0,5,0,0
2089,Bilateria,8,2,1,2,3,5,2
2090,Bilateria,7,1,1,1,4,3,0
2092,LECA,5,2,1,0,2,3,0
2093,Bilateria,2,1,0,0,1,1,0
2094,LECA,6,1,1,1,3,3,0
2095,LECA,2,0,0,0,2,0,0
2096,Gnathostomata,2,0,0,1,1,1,0
2099,LECA,16,1,2,5,8,8,0
21,LECA,5,0,0,2,3,2,1
2103,LECA,4,1,2,0,1,3,0
2109,LECA,2,1,1,0,0,2,0
211,LECA,13,2,2,1,8,5,1
2111,LECA,3,1,1,0,1,2,0
2115,LECA,5,2,2,0,1,4,0
2117,LECA,2,0,1,0,1,1,0
2119,LECA,2,0,0,0,2,0,0
212,LECA,7,1,0,1,5,2,0
2129,LECA,4,2,0,0,2,2,0
213,LECA,3,0,1,1,1,2,0
2134,LECA,3,1,1,0,1,2,0
2135,Opisthokonta,5,2,0,0,3,2,0
2139,Vertebrata,3,0,0,0,3,0,0
2142,Bilateria,3,0,0,1,2,1,0
2146,LECA,3,0,0,0,3,0,0
2147,LECA,3,0,0,1,2,1,1
2149,LECA,5,2,0,0,3,2,0
2150,LECA,2,0,0,0,2,0,0
2151,LECA,2,1,0,0,1,1,0
2153,LECA,2,1,0,0,1,1,0
2154,Opisthokonta,7,0,2,0,5,2,0
2155,Gnathostomata,2,0,0,0,2,0,0
2156,LECA,2,1,0,0,1,1,0
2157,Bilateria,6,1,0,0,5,1,0
2158,LECA,10,1,0,4,5,5,1
216,LECA,2,0,0,0,2,0,0
2164,LECA,3,2,1,0,0,3,1
2166,Gnathostomata,3,1,1,0,1,2,0
2167,Chordata,9,4,0,1,4,5,0
217,Gnathostomata,2,0,0,0,2,0,0
2173,LECA,2,0,0,2,0,2,0
2174,LECA,5,0,0,1,4,1,0
2183,LECA,2,0,0,0,2,0,0
2184,LECA,2,0,0,0,2,0,0
2185,Bilateria,9,1,1,2,5,4,0
2186,Bilateria,4,0,1,0,3,1,0
2189,Bilateria,8,1,0,0,7,1,1
219,LECA,4,1,2,1,0,4,0
2190,Gnathostomata,2,0,0,0,2,0,0
2191,Chordata,3,1,1,0,1,2,0
2195,Gnathostomata,2,0,0,0,2,0,0
2199,LECA,2,0,1,0,1,1,0
22,LECA,16,3,1,0,12,4,1
2202,Bilateria,3,0,1,0,2,1,0
2209,Bilateria,6,0,0,1,5,1,0
221,Bilateria,2,0,1,0,1,1,0
2211,Bilateria,4,0,1,0,3,1,0
2215,LECA,2,0,0,0,2,0,0
2218,LECA,7,1,1,1,4,3,1
222,LECA,3,1,0,1,1,2,0
2226,Bilateria,2,0,0,0,2,0,0
223,Bilateria,12,2,0,0,10,2,0
2230,LECA,8,1,2,0,5,3,1
2232,Opisthokonta,3,0,0,0,3,0,0
2235,LECA,3,0,0,0,3,0,0
2236,LECA,3,1,1,0,1,2,0
2239,LECA,2,0,0,0,2,0,0
2240,LECA,9,0,1,1,7,2,0
2243,LECA,3,0,0,3,0,3,0
2244,LECA,3,0,0,0,3,0,0
2246,Vertebrata,3,0,0,0,3,0,0
2247,LECA,2,0,0,0,2,0,0
2249,LECA,2,0,0,1,1,1,0
225,LECA,4,1,0,0,3,1,0
2252,LECA,2,0,0,1,1,1,0
2254,Gnathostomata,3,0,0,0,3,0,0
226,LECA,2,0,1,0,1,1,0
2261,Bilateria,3,0,1,1,1,2,0
2265,Homo sapiens,3,0,0,0,3,0,0
227,LECA,9,0,0,0,9,0,0
2273,Gnathostomata,2,0,0,0,2,0,0
2279,Chordata,4,0,0,1,3,1,0
2286,LECA,11,2,1,1,7,4,0
2287,Opisthokonta,3,0,1,0,2,1,0
229,Gnathostomata,20,1,2,4,13,7,0
230,Bilateria,19,1,1,2,15,4,2
2308,Bilateria,6,0,0,0,6,0,0
2310,Vertebrata,2,0,0,0,2,0,0
232,LECA,14,1,5,0,8,6,0
2322,LECA,2,0,0,0,2,0,0
2324,Opisthokonta,4,0,1,1,2,2,0
2325,Gnathostomata,2,1,0,0,1,1,0
2328,LECA,4,0,0,1,3,1,0
2329,LECA,4,0,1,0,3,1,0
2332,Bilateria,2,0,0,0,2,0,0
2334,Vertebrata,3,0,1,1,1,2,0
2335,Bilateria,2,0,0,0,2,0,0
2336,LECA,4,0,1,1,2,2,0
2337,Vertebrata,2,0,0,1,1,1,0
234,Eutheria,3,0,0,1,2,1,0
2340,Opisthokonta,2,0,0,0,2,0,0
2341,Euteleostomi,2,0,0,1,1,1,0
2342,Opisthokonta,9,2,0,0,7,2,0
2346,Opisthokonta,3,0,0,0,3,0,0
2348,LECA,3,1,0,0,2,1,0
2349,Vertebrata,2,0,0,0,2,0,0
235,Opisthokonta,3,0,0,1,2,1,0
2351,LECA,15,0,5,4,6,9,1
2352,LECA,4,1,0,0,3,1,0
2355,LECA,2,0,1,0,1,1,0
2357,LECA,5,0,0,1,4,1,2
236,LECA,7,1,0,0,6,1,0
2361,Opisthokonta,2,0,0,0,2,0,0
2363,LECA,4,0,0,0,4,0,0
237,Vertebrata,5,1,1,1,2,3,0
2377,Bilateria,2,0,0,0,2,0,0
238,LECA,9,2,2,1,4,5,0
2382,LECA,4,0,1,0,3,1,0
2383,LECA,3,0,0,2,1,2,1
2384,LECA,12,2,0,6,4,8,0
2386,LECA,3,1,0,0,2,1,0
2387,LECA,7,2,0,0,5,2,0
2389,LECA,2,0,0,0,2,0,0
2390,Bilateria,2,1,0,0,1,1,0
2393,LECA,5,0,0,1,4,1,0
24,LECA,51,11,8,6,26,25,0
2403,Bilateria,2,0,0,0,2,0,0
2404,Gnathostomata,2,1,0,1,0,2,0
2409,Bilateria,4,0,0,0,4,0,0
241,LECA,5,0,0,1,4,1,0
2410,Vertebrata,2,1,0,0,1,1,0
2412,Bilateria,7,0,1,0,6,1,0
242,LECA,3,0,1,0,2,1,0
2421,Opisthokonta,2,0,0,0,2,0,0
2425,LECA,4,1,0,1,2,2,0
2428,Bilateria,3,0,1,1,1,2,0
2429,Chordata,4,0,3,0,1,3,0
243,LECA,12,3,1,0,8,4,0
2432,Chordata,3,1,0,0,2,1,0
2436,Bilateria,5,1,0,0,4,1,2
2437,Vertebrata,3,0,1,1,1,2,0
2438,LECA,2,1,0,0,1,1,0
2439,LECA,3,0,1,1,1,2,0
244,Gnathostomata,3,0,1,0,2,1,1
2448,Bilateria,2,0,0,0,2,0,0
2449,LECA,2,0,0,0,2,0,0
2456,LECA,2,0,0,0,2,0,0
2458,LECA,2,0,0,0,2,0,0
2459,LECA,3,2,1,0,0,3,0
246,Bilateria,3,0,0,0,3,0,1
2467,LECA,2,0,0,0,2,0,0
247,LECA,6,1,0,2,3,3,1
2473,LECA,18,1,2,4,11,7,1
2474,Opisthokonta,2,0,0,1,1,1,0
2475,LECA,6,0,1,2,3,3,0
2477,LECA,2,0,0,0,2,0,0
248,LECA,10,0,1,2,7,3,1
2483,LECA,3,1,0,0,2,1,0
2488,Chordata,4,0,0,1,3,1,0
2489,LECA,4,0,1,1,2,2,0
249,LECA,28,4,3,2,19,9,1
2492,LECA,5,0,1,0,4,1,0
2495,LECA,3,0,1,0,2,1,0
2499,Gnathostomata,2,0,0,1,1,1,0
250,LECA,8,1,0,1,6,2,0
2500,LECA,3,0,1,1,1,2,0
2501,LECA,3,0,0,2,1,2,0
2503,LECA,4,0,2,0,2,2,0
2505,LECA,5,0,0,1,4,1,1
2509,Vertebrata,9,0,2,3,4,5,0
251,LECA,10,0,1,3,6,4,1
2519,Gnathostomata,2,0,1,0,1,1,0
252,Amniota,3,0,0,0,3,0,0
2520,LECA,3,0,0,1,2,1,0
2522,LECA,13,0,2,1,10,3,0
2524,Chordata,2,0,1,0,1,1,0
253,Bilateria,3,0,1,0,2,1,0
2530,LECA,18,0,1,1,16,2,0
2532,Vertebrata,3,0,1,1,1,2,0
2533,Bilateria,3,0,0,0,3,0,0
2537,LECA,7,0,0,0,7,0,0
254,LECA,48,8,6,3,31,17,0
2542,Bilateria,3,1,1,0,1,2,0
2543,LECA,4,0,0,0,4,0,0
2546,LECA,2,0,0,1,1,1,0
255,LECA,38,1,6,2,29,9,1
2552,LECA,3,1,0,2,0,3,0
2558,Gnathostomata,2,0,0,0,2,0,0
256,LECA,18,2,2,2,12,6,2
2563,Opisthokonta,6,0,1,0,5,1,0
2564,Bilateria,3,1,0,0,2,1,0
2568,Chordata,3,0,0,0,3,0,1
257,LECA,2,0,0,0,2,0,0
2574,LECA,2,0,0,0,2,0,0
2576,Gnathostomata,2,0,0,0,2,0,0
2578,Gnathostomata,3,1,0,1,1,2,0
258,LECA,13,3,2,3,5,8,1
2582,LECA,12,0,1,0,11,1,1
2583,Gnathostomata,2,0,0,0,2,0,0
259,LECA,2,0,1,1,0,2,1
26,Vertebrata,2,0,1,1,0,2,0
2601,Vertebrata,2,0,0,0,2,0,0
2607,LECA,4,0,0,1,3,1,0
2608,LECA,4,0,0,1,3,1,0
261,LECA,36,4,3,4,25,11,1
2610,Eutheria,2,0,1,1,0,2,0
2612,Gnathostomata,2,1,0,0,1,1,0
2613,Vertebrata,5,0,1,0,4,1,0
2614,Euteleostomi,2,0,0,0,2,0,0
2618,LECA,3,0,0,0,3,0,1
262,Bilateria,41,4,1,0,36,5,3
2622,Chordata,3,0,2,1,0,3,0
2625,Vertebrata,2,1,0,0,1,1,0
263,Gnathostomata,15,1,1,2,11,4,0
2634,LECA,2,0,0,1,1,1,0
2640,Bilateria,2,0,0,1,1,1,0
2648,LECA,6,0,1,0,5,1,0
265,LECA,2,0,0,0,2,0,0
2651,LECA,2,0,0,0,2,0,0
2657,Opisthokonta,2,0,0,0,2,0,0
266,Bilateria,4,1,0,1,2,2,0
2660,Chordata,5,0,0,0,5,0,1
2661,LECA,2,0,0,0,2,0,0
2665,Opisthokonta,3,2,0,0,1,2,0
2667,LECA,2,0,0,0,2,0,0
267,LECA,5,1,0,1,3,2,1
268,Bilateria,19,2,4,1,12,7,1
2683,Bilateria,2,0,0,0,2,0,0
2687,Vertebrata,3,0,0,1,2,1,0
269,LECA,7,0,1,2,4,3,0
2692,Vertebrata,3,0,0,0,3,0,0
2699,Vertebrata,3,0,2,0,1,2,0
27,Bilateria,2,0,0,0,2,0,0
270,LECA,6,0,0,0,6,0,1
2701,Euteleostomi,2,0,0,1,1,1,0
2702,Gnathostomata,6,0,0,0,6,0,0
2707,Vertebrata,2,0,0,0,2,0,0
2709,Vertebrata,3,1,0,0,2,1,0
2712,LECA,5,0,1,3,1,4,0
272,LECA,3,0,1,1,1,2,0
2720,Gnathostomata,2,0,0,0,2,0,0
2725,Eutheria,5,0,0,0,5,0,0
2727,Bilateria,4,1,0,0,3,1,0
2731,LECA,12,2,1,0,9,3,0
2732,Bilateria,9,0,0,3,6,3,2
2738,LECA,18,3,1,1,13,5,1
2740,Gnathostomata,2,0,0,1,1,1,0
2745,Eutheria,3,2,0,0,1,2,0
275,LECA,10,0,2,0,8,2,1
2750,Bilateria,3,1,0,0,2,1,0
2754,LECA,2,0,1,0,1,1,0
276,LECA,6,0,0,5,1,5,0
2761,Bilateria,3,0,0,0,3,0,0
2762,LECA,7,0,2,2,3,4,1
2768,Vertebrata,8,0,1,2,5,3,1
277,LECA,5,0,0,0,5,0,0
2773,Opisthokonta,2,1,0,0,1,1,0
2776,LECA,7,1,2,1,3,4,0
2782,Chordata,3,1,0,0,2,1,1
2783,LECA,3,0,0,0,3,0,0
2784,LECA,2,0,0,1,1,1,0
2787,LECA,2,0,1,1,0,2,0
279,Chordata,17,0,1,2,14,3,0
2791,Opisthokonta,2,0,0,0,2,0,0
2792,Chordata,2,0,0,0,2,0,0
2794,LECA,5,1,0,0,4,1,0
2797,Bilateria,3,2,0,0,1,2,0
2798,LECA,3,1,0,0,2,1,0
28,LECA,10,4,0,0,6,4,0
2800,Gnathostomata,2,0,0,1,1,1,0
2803,LECA,3,0,0,1,2,1,0
2806,Bilateria,5,0,0,1,4,1,0
2809,Bilateria,3,1,1,0,1,2,0
281,Opisthokonta,7,1,1,0,5,2,0
2810,Bilateria,3,0,0,0,3,0,0
2813,Bilateria,2,0,0,0,2,0,0
2814,LECA,4,0,0,0,4,0,0
2816,Bilateria,5,0,2,0,3,2,0
2817,LECA,5,1,0,0,4,1,0
2818,LECA,4,0,0,0,4,0,0
2819,LECA,7,1,1,1,4,3,0
282,Gnathostomata,2,0,0,1,1,1,0
2822,LECA,3,0,1,0,2,1,0
2823,LECA,4,0,1,0,3,1,0
2825,LECA,3,1,0,0,2,1,0
2828,Opisthokonta,2,0,1,0,1,1,0
2829,LECA,5,1,2,0,2,3,0
2830,Vertebrata,2,0,0,0,2,0,0
2831,Opisthokonta,7,2,1,0,4,3,0
2836,Bilateria,2,0,0,0,2,0,0
284,LECA,3,1,0,1,1,2,0
285,LECA,6,0,2,1,3,3,0
2851,LECA,2,0,0,1,1,1,0
2854,LECA,2,0,0,0,2,0,0
2856,LECA,2,0,0,0,2,0,0
287,Vertebrata,4,0,0,0,4,0,0
2871,LECA,3,0,1,0,2,1,0
2872,LECA,2,0,1,0,1,1,0
2873,Chordata,2,0,0,0,2,0,0
288,LECA,4,0,2,0,2,2,0
289,Chordata,2,1,0,0,1,1,0
2893,LECA,2,0,0,1,1,1,0
29,Bilateria,17,7,2,3,5,12,0
290,Vertebrata,4,0,1,1,2,2,1
2907,LECA,3,0,0,1,2,1,0
291,LECA,14,2,1,3,8,6,0
2910,LECA,2,1,0,0,1,1,0
2912,Vertebrata,2,0,1,0,1,1,0
292,Vertebrata,3,0,0,0,3,0,0
2920,Vertebrata,3,2,0,1,0,3,0
2930,Bilateria,3,1,1,1,0,3,0
2931,LECA,7,2,1,2,2,5,0
2933,LECA,2,0,0,0,2,0,0
2936,LECA,2,0,0,0,2,0,0
294,Opisthokonta,3,1,1,0,1,2,0
2941,Vertebrata,2,1,0,0,1,1,0
2942,LECA,3,0,0,0,3,0,0
2943,Gnathostomata,2,0,0,0,2,0,0
2946,Gnathostomata,2,0,0,0,2,0,0
2947,LECA,3,1,1,0,1,2,0
295,LECA,19,2,2,3,12,7,1
2953,Gnathostomata,2,0,0,0,2,0,1
2954,Gnathostomata,2,0,0,1,1,1,0
2955,LECA,17,2,1,2,12,5,1
2957,LECA,3,0,0,0,3,0,0
2959,Catarrhini,2,0,1,0,1,1,0
296,LECA,5,0,0,0,5,0,0
2963,Gnathostomata,5,0,0,3,2,3,1
2964,Bilateria,2,1,0,0,1,1,0
2975,Vertebrata,2,0,0,0,2,0,0
2978,LECA,7,1,1,2,3,4,0
2981,LECA,3,1,0,0,2,1,0
2986,Vertebrata,3,0,1,0,2,1,0
2990,Chordata,2,0,1,0,1,1,0
2991,LECA,9,1,1,0,7,2,0
2992,LECA,7,0,1,0,6,1,0
3,Opisthokonta,2,0,1,0,1,1,0
300,LECA,6,0,0,0,6,0,0
3003,Gnathostomata,3,0,1,0,2,1,0
3009,Vertebrata,2,0,0,1,1,1,0
301,Bilateria,2,0,0,0,2,0,0
3014,Bilateria,2,0,0,0,2,0,0
3019,LECA,3,0,1,1,1,2,0
302,LECA,6,0,1,0,5,1,0
3026,Opisthokonta,2,0,0,0,2,0,0
3027,LECA,2,1,0,0,1,1,0
303,LECA,2,1,0,0,1,1,0
3036,LECA,2,0,1,0,1,1,0
304,Bilateria,3,0,0,0,3,0,0
3040,LECA,2,0,1,0,1,1,0
3041,Chordata,4,1,0,0,3,1,0
3045,LECA,4,0,1,1,2,2,1
305,LECA,2,0,0,1,1,1,0
3052,LECA,2,1,0,0,1,1,0
3054,LECA,3,2,0,0,1,2,0
3057,Gnathostomata,2,1,0,0,1,1,0
3059,LECA,4,1,1,1,1,3,1
306,LECA,7,2,0,0,5,2,0
3064,Eutheria,2,0,0,0,2,0,0
3067,LECA,2,1,0,1,0,2,0
3069,LECA,2,0,0,1,1,1,1
307,LECA,5,0,1,0,4,1,0
3071,Gnathostomata,3,0,0,0,3,0,0
3074,LECA,2,0,1,0,1,1,0
3077,Bilateria,2,0,0,1,1,1,0
308,LECA,9,0,1,0,8,1,0
3082,LECA,6,0,0,1,5,1,0
3083,LECA,2,0,0,0,2,0,0
3087,LECA,5,0,1,1,3,2,0
309,Chordata,4,0,0,0,4,0,0
3090,Vertebrata,2,0,1,0,1,1,0
3091,LECA,2,0,0,1,1,1,0
3096,Vertebrata,3,0,0,0,3,0,0
3099,Opisthokonta,5,0,0,2,3,2,0
31,Bilateria,11,2,2,1,6,5,1
310,Bilateria,3,1,1,0,1,2,0
3105,Chordata,4,0,0,1,3,1,0
311,Bilateria,2,0,0,1,1,1,0
3110,Bilateria,2,0,0,0,2,0,0
3118,LECA,2,0,0,0,2,0,0
3119,LECA,6,0,1,0,5,1,0
312,Vertebrata,12,2,2,1,7,5,1
3121,Simiiformes,6,0,0,2,4,2,0
3122,LECA,8,4,1,0,3,5,0
3124,LECA,3,0,1,1,1,2,0
3128,LECA,2,1,0,0,1,1,0
3129,Gnathostomata,3,0,0,2,1,2,0
313,Chordata,2,0,0,0,2,0,0
3131,Gnathostomata,2,0,0,0,2,0,0
3136,LECA,3,0,1,2,0,3,1
3138,LECA,3,1,1,0,1,2,1
3143,Bilateria,2,0,0,1,1,1,0
3146,Tetrapoda,4,0,0,1,3,1,0
3148,LECA,3,1,0,0,2,1,0
315,LECA,2,0,1,0,1,1,0
316,LECA,21,1,4,7,9,12,4
3160,LECA,2,0,0,0,2,0,0
3161,Gnathostomata,5,0,1,0,4,1,0
3164,LECA,2,0,0,0,2,0,0
3166,LECA,3,0,2,0,1,2,0
3169,LECA,3,0,0,0,3,0,0
317,Vertebrata,3,0,0,0,3,0,1
3172,LECA,3,0,1,0,2,1,1
3174,LECA,5,0,0,0,5,0,0
3176,Chordata,2,0,1,0,1,1,1
318,LECA,11,1,2,1,7,4,0
3184,LECA,3,0,1,0,2,1,0
3186,Opisthokonta,6,1,0,1,4,2,0
3187,Opisthokonta,2,2,0,0,0,2,0
319,LECA,14,4,1,2,7,7,0
3194,Opisthokonta,2,0,0,1,1,1,0
3197,Gnathostomata,2,1,0,0,1,1,0
32,LECA,3,1,0,0,2,1,0
320,LECA,34,2,5,3,24,10,0
3204,Vertebrata,2,0,0,0,2,0,0
3211,Vertebrata,2,0,0,0,2,0,0
3212,Bilateria,2,0,1,1,0,2,1
3216,LECA,2,1,0,1,0,2,0
3219,LECA,3,0,1,0,2,1,0
322,LECA,2,0,0,0,2,0,0
3221,Opisthokonta,2,0,1,0,1,1,0
3224,LECA,3,1,0,0,2,1,1
3225,LECA,2,1,0,0,1,1,0
3227,Vertebrata,2,0,0,0,2,0,0
3228,LECA,3,0,1,0,2,1,0
323,Opisthokonta,3,0,0,0,3,0,0
3234,Vertebrata,4,2,1,0,1,3,0
3235,Vertebrata,2,0,1,0,1,1,0
3236,LECA,2,0,0,0,2,0,0
3239,Chordata,4,1,1,0,2,2,0
3243,LECA,2,0,0,0,2,0,0
325,LECA,52,5,2,4,41,11,1
3250,LECA,2,0,0,0,2,0,0
3255,LECA,3,1,0,2,0,3,0
3256,Vertebrata,4,0,0,0,4,0,0
3257,LECA,5,0,0,1,4,1,0
326,Chordata,12,1,0,3,8,4,0
3264,Chordata,4,0,0,1,3,1,0
3265,Chordata,3,0,1,1,1,2,1
3267,LECA,3,1,1,1,0,3,1
327,Bilateria,7,0,2,0,5,2,0
3274,Gnathostomata,2,1,0,0,1,1,0
3276,Vertebrata,2,1,0,0,1,1,0
328,LECA,4,0,0,0,4,0,0
329,LECA,3,0,1,0,2,1,0
3291,LECA,2,0,0,1,1,1,0
3292,Bilateria,24,1,4,0,19,5,0
3295,Vertebrata,3,0,1,2,0,3,1
3296,LECA,2,0,1,0,1,1,0
3299,Vertebrata,2,1,0,1,0,2,1
33,LECA,14,2,4,1,7,7,0
3301,Vertebrata,2,0,0,0,2,0,0
3309,LECA,2,0,0,2,0,2,0
3313,Bilateria,2,1,0,1,0,2,0
3314,LECA,2,0,0,0,2,0,0
3316,LECA,2,0,0,1,1,1,0
3318,LECA,5,1,2,2,0,5,2
3320,LECA,3,2,0,0,1,2,0
3321,LECA,3,1,0,0,2,1,0
3325,Bilateria,4,1,0,0,3,1,0
3327,Vertebrata,3,0,1,1,1,2,0
3329,LECA,3,0,1,0,2,1,0
333,LECA,7,1,1,1,4,3,0
3334,LECA,2,0,0,0,2,0,1
3336,LECA,2,0,0,0,2,0,0
3340,LECA,2,0,1,0,1,1,0
3342,Gnathostomata,2,0,1,0,1,1,0
335,LECA,2,0,1,0,1,1,0
3351,LECA,3,0,1,0,2,1,0
3352,Gnathostomata,2,0,0,0,2,0,0
3356,Bilateria,11,0,2,0,9,2,0
336,Opisthokonta,2,0,0,0,2,0,0
3364,Bilateria,3,1,0,0,2,1,0
3365,LECA,8,1,1,0,6,2,0
337,Bilateria,3,1,1,0,1,2,0
338,Gnathostomata,2,1,0,1,0,2,0
3381,Vertebrata,2,0,0,0,2,0,0
3384,Opisthokonta,5,1,0,1,3,2,0
3385,LECA,5,0,0,0,5,0,0
339,LECA,32,2,7,6,17,15,1
3393,LECA,2,1,0,0,1,1,0
34,Opisthokonta,12,2,2,0,8,4,1
340,LECA,3,0,0,0,3,0,0
3402,Opisthokonta,3,1,0,2,0,3,0
3403,Bilateria,2,2,0,0,0,2,1
3412,LECA,3,0,0,0,3,0,0
3413,LECA,2,0,0,0,2,0,1
3418,Bilateria,9,1,0,1,7,2,0
342,LECA,9,1,2,0,6,3,0
343,LECA,32,4,4,6,18,14,1
3430,LECA,12,0,3,3,6,6,2
3431,LECA,3,0,1,0,2,1,0
3435,Bilateria,2,0,0,1,1,1,0
3437,Bilateria,15,0,4,3,8,7,1
3442,LECA,3,0,1,1,1,2,1
3448,LECA,4,0,0,1,3,1,0
3459,Opisthokonta,2,0,0,1,1,1,0
346,Opisthokonta,3,1,0,0,2,1,0
3466,LECA,6,1,2,0,3,3,0
3467,LECA,2,0,2,0,0,2,0
3471,Vertebrata,3,1,1,0,1,2,0
348,LECA,19,1,3,3,12,7,1
3480,LECA,9,0,3,1,5,4,0
3481,LECA,4,0,2,0,2,2,1
3482,Opisthokonta,3,0,0,1,2,1,0
3483,Bilateria,8,1,1,0,6,2,1
3486,LECA,2,0,0,0,2,0,0
3487,LECA,2,0,0,0,2,0,0
3489,LECA,2,0,0,0,2,0,0
3491,LECA,2,1,0,0,1,1,0
3492,LECA,4,0,1,1,2,2,0
35,LECA,28,4,3,7,14,14,0
350,LECA,18,2,1,3,12,6,1
3508,Bilateria,4,0,1,0,3,1,0
3509,LECA,7,0,1,0,6,1,0
351,Chordata,3,0,0,2,1,2,0
3510,Bilateria,2,0,1,0,1,1,0
3514,LECA,13,1,2,2,8,5,0
352,LECA,16,4,2,0,10,6,0
3527,LECA,3,0,2,0,1,2,0
3528,LECA,6,0,0,3,3,3,0
3529,Gnathostomata,2,0,1,0,1,1,0
353,LECA,4,1,0,0,3,1,0
3533,Opisthokonta,4,0,0,1,3,1,1
3537,Gnathostomata,2,1,0,0,1,1,1
3539,LECA,4,1,2,0,1,3,0
354,LECA,4,1,1,1,1,3,0
3540,LECA,3,0,0,0,3,0,0
3546,LECA,2,1,0,0,1,1,0
355,LECA,3,1,0,1,1,2,0
3551,LECA,8,2,1,0,5,3,0
3556,Bilateria,4,0,0,1,3,1,0
3557,Bilateria,4,0,0,0,4,0,0
356,LECA,14,0,3,2,9,5,0
3565,Gnathostomata,2,0,0,0,2,0,0
3566,LECA,2,0,0,0,2,0,0
3569,Bilateria,4,1,1,1,1,3,0
357,LECA,5,1,0,1,3,2,0
3571,Chordata,7,1,1,2,3,4,0
3572,Vertebrata,2,1,0,0,1,1,0
3575,Chordata,6,2,0,0,4,2,0
3579,LECA,2,0,0,1,1,1,0
358,LECA,9,1,1,2,5,4,2
3580,LECA,12,0,0,0,12,0,0
3582,Vertebrata,4,1,1,0,2,2,0
3585,LECA,5,0,0,0,5,0,0
3586,LECA,2,0,0,1,1,1,0
3588,Bilateria,6,0,2,1,3,3,1
359,Gnathostomata,4,1,0,1,2,2,0
3591,Bilateria,4,0,0,0,4,0,0
3597,LECA,5,2,1,0,2,3,1
36,LECA,2,0,0,0,2,0,0
360,LECA,2,0,0,0,2,0,0
3606,LECA,3,2,0,0,1,2,0
3609,LECA,3,0,0,1,2,1,0
3611,LECA,3,0,0,0,3,0,0
3615,LECA,2,0,0,0,2,0,1
3616,Bilateria,4,1,0,0,3,1,1
3618,Vertebrata,3,0,0,1,2,1,0
362,LECA,2,1,0,0,1,1,0
3627,LECA,3,0,3,0,0,3,0
363,LECA,2,0,0,0,2,0,0
3630,Bilateria,4,1,0,1,2,2,0
3634,Opisthokonta,3,0,0,0,3,0,0
3638,Opisthokonta,3,0,0,1,2,1,0
364,Bilateria,3,0,1,1,1,2,1
3640,LECA,3,0,0,0,3,0,0
3642,Vertebrata,2,1,1,0,0,2,0
3645,Bilateria,3,0,0,1,2,1,0
3648,LECA,3,0,0,1,2,1,0
3654,LECA,2,0,0,1,1,1,0
3655,LECA,2,0,0,2,0,2,1
3656,Chordata,3,0,1,0,2,1,0
3657,Vertebrata,2,0,0,0,2,0,0
