Family_number,Family_Root,Number_of_members,DNA,RNA,Multi,None,Total_VIP,Num_Critical
11174,Euteleostomi,2,0,0,0,2,0,0
11180,Eutheria,2,0,0,0,2,0,0
1119,Bilateria,4,1,1,0,2,2,0
112,LECA,7,0,1,0,6,1,0
1120,Chordata,3,0,0,0,3,0,1
1121,LECA,6,0,0,2,4,2,0
1122,LECA,3,0,0,0,3,0,0
1124,LECA,8,2,2,0,4,4,0
11250,LECA,2,0,0,1,1,1,0
11255,Eutheria,3,0,0,0,3,0,0
1126,LECA,4,0,0,0,4,0,0
1128,LECA,4,0,1,0,3,1,0
113,LECA,24,1,5,3,15,9,3
1131,LECA,2,1,0,0,1,1,0
1132,LECA,4,0,1,0,3,1,0
1133,LECA,5,2,0,1,2,3,1
1134,LECA,24,5,1,4,14,10,0
11351,Gnathostomata,2,1,0,0,1,1,0
1137,Gnathostomata,8,2,1,0,5,3,0
11373,LECA,2,2,0,0,0,2,0
11379,Eutheria,2,0,0,0,2,0,0
11391,LECA,3,0,0,0,3,0,0
11393,LECA,5,0,1,0,4,1,0
114,LECA,35,3,6,5,21,14,2
1141,LECA,7,0,1,1,5,2,0
1142,Bilateria,2,0,0,1,1,1,0
1143,Opisthokonta,3,0,1,1,1,2,0
11430,LECA,2,0,1,0,1,1,0
1144,LECA,7,3,0,1,3,4,0
1145,Bilateria,5,2,0,1,2,3,1
1149,LECA,3,0,0,0,3,0,1
115,Vertebrata,2,0,0,0,2,0,0
1151,Gnathostomata,2,1,0,0,1,1,0
1159,LECA,7,1,0,3,3,4,0
116,LECA,4,1,0,1,2,2,0
1161,Bilateria,10,1,2,1,6,4,1
11622,LECA,2,1,0,1,0,2,0
1164,Opisthokonta,4,0,1,0,3,1,0
11668,LECA,2,1,0,0,1,1,0
11687,LECA,3,0,0,0,3,0,0
117,Bilateria,26,5,5,1,15,11,1
1172,LECA,2,0,1,0,1,1,0
1173,LECA,6,0,0,1,5,1,0
1174,LECA,14,0,3,1,10,4,0
1177,LECA,3,0,0,0,3,0,0
11771,Bilateria,2,0,0,1,1,1,0
11774,Eutheria,3,0,0,0,3,0,0
1179,LECA,3,0,0,1,2,1,1
118,LECA,5,0,0,0,5,0,0
1180,Gnathostomata,3,1,0,0,2,1,0
11802,Mammalia,6,0,1,1,4,2,0
1185,Bilateria,14,1,1,1,11,3,1
1186,Vertebrata,3,0,0,1,2,1,0
11872,Euteleostomi,2,0,2,0,0,2,1
1188,LECA,3,0,1,1,1,2,0
1189,LECA,6,0,2,1,3,3,0
119,LECA,18,3,4,2,9,9,0
1190,LECA,3,0,1,0,2,1,0
11905,Gnathostomata,2,0,0,0,2,0,0
1191,Vertebrata,3,0,0,0,3,0,0
