Disease_Association,Most_Haploinsufficient_gene,dNdS
Unknown.Unknown,C,0.0.034
Unknown.None,C,0.0.0062
Both.Recessive,C,0.0026.0.0035
Dominant.Unknown,C,0.0.0026
Recessive.Unknown,C,0.0.0071
Recessive.Unknown,C,0.0033.0.0204
None.Unknown,D,0.0.002
Unknown.Unknown,D,0.0014.0.0142
Unknown.Unknown,C,0.0.001
Unknown.Dominant,C,0.0.0037
Unknown.None,NA,0.0063.0.0319
Unknown.Unknown,C,0.0.0017
Unknown.Unknown,D,0.0008.0.0514
Unknown.Unknown,C,0.0004.0.0014
Unknown.Dominant,D,0.0015.0.0073
Unknown.Unknown,C,0.0015.0.0164
Both.Dominant,C,0.0007.0.0029
Unknown.None,NA,0.0063.0.0279
Unknown.Unknown,C,0.0.0019
None.None,D,0.0007.0.0216
Dominant.Unknown,C,0.0.0011
Unknown.Recessive,C,0.0004.0.0014
None.None,C,0.0.0014
Unknown.None,NA,0.0063.0.0308
Both.Unknown,C,0.0009.0.0127
Unknown.Unknown,C,0.0018.0.0038
Unknown.Unknown,C,0.0.0029
Unknown.Dominant,D,0.0006.0.0017
Unknown.Unknown,C,0.0.1082
None.Unknown,D,0.0029.0.0219
Both.Unknown,C,0.001.0.0062
Unknown.Unknown,C,0.0.0078
Unknown.Recessive,C,0.0023.0.0055
None.Unknown,NA,0.0029.0.0055
Unknown.None,C,0.0072.0.0095
Unknown.Unknown,D,0.0004.0.0005
Unknown.Unknown,C,0.0.0028
Unknown.None,C,0.0004.0.0033
Unknown.Unknown,C,0.0009.0.0221
Unknown.Recessive,C,0.001.0.0046
Unknown.Unknown,NA,0.0.0021
Unknown.Unknown,C,0.0026.0.0057
Recessive.Unknown,C,0.0009.0.0067
Unknown.Unknown,C,0.0.004
Dominant.None,C,0.0011.0.0084
Recessive.Unknown,C,0.0005.0.0466
Unknown.Unknown,D,0.0.0005
Dominant.Dominant,C,0.0.0061
Dominant.Unknown,C,0.0.0006
Unknown.Unknown,NA,0.0.002
Unknown.Unknown,C,0.0.0042
Unknown.Unknown,C,0.0.0009
Unknown.Unknown,D,0.0023.0.0027
None.Unknown,D,0.0.0075
Unknown.Unknown,C,0.0.0421
Unknown.None,C,0.0.01
Unknown.Unknown,C,0.0023.0.006
Dominant.Both,C,0.0025.0.0102
